City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
244,Aberdeen,GB,2021-02-07 14:40:28,57.1437,-2.0981,35.6,55,90,14.97
245,Medak,IN,2021-02-07 14:40:29,18.0333,78.2667,75.0,49,96,4.61
246,Daloa,CI,2021-02-07 14:40:29,6.8774,-6.4502,97.05,31,99,1.16
247,Naze,JP,2021-02-07 14:40:30,28.3667,129.4833,58.08,64,0,8.77
248,Margate,GB,2021-02-07 14:40:30,51.3813,1.3862,30.99,86,100,8.01
249,Wanning,CN,2021-02-07 14:40:30,18.8003,110.3967,69.28,89,20,5.28
250,Igurubi,TZ,2021-02-07 14:40:31,-4.0,33.7,80.71,57,77,5.91
251,Soloneshnoye,RU,2021-02-07 14:40:32,51.6544,84.3197,27.1,92,57,3.87
252,Monsenhor Gil,BR,2021-02-07 14:40:32,-5.5642,-42.6078,87.8,62,40,3.44
253,Asau,RO,2021-02-07 14:40:32,46.4333,26.4,28.99,74,100,3.29
254,Soyo,AO,2021-02-07 14:40:33,-6.1349,12.3689,87.8,74,75,8.05
255,Phangnga,TH,2021-02-07 14:40:33,8.4509,98.5298,82.4,78,40,2.3
256,Santa Fe,AR,2021-02-07 14:39:42,-31.6333,-60.7,88.0,48,0,5.99
257,Yerbogachen,RU,2021-02-07 14:40:34,61.2767,108.0108,17.06,97,100,6.42
258,Balkanabat,TM,2021-02-07 14:40:35,39.5108,54.3671,56.71,39,100,10.45
259,La Sarre,CA,2021-02-07 14:40:35,48.8002,-79.1996,1.06,93,96,7.49
260,Estelle,US,2021-02-07 14:40:36,29.8458,-90.1067,51.8,82,90,10.36
261,Richards Bay,ZA,2021-02-07 14:40:36,-28.783,32.0377,80.78,74,67,6.89
262,Luganville,VU,2021-02-07 14:40:37,-15.5333,167.1667,77.79,73,33,7.4
263,Saint-Cesaire,CA,2021-02-07 14:40:37,45.4168,-72.9991,21.2,68,100,2.3
264,Thompson,CA,2021-02-07 14:40:38,55.7435,-97.8558,-36.4,61,75,13.8
265,Libertador General San Martin,AR,2021-02-07 14:40:38,-23.8064,-64.7876,87.26,36,0,5.08
266,Hovd,MN,2021-02-07 14:40:38,48.0056,91.6419,14.34,87,80,0.98
267,Kavieng,PG,2021-02-07 14:40:39,-2.5744,150.7967,82.87,77,33,10.16
268,Okhotsk,RU,2021-02-07 14:40:39,59.3833,143.3,14.16,88,100,23.85
269,Nanakuli,US,2021-02-07 14:40:40,21.3906,-158.1547,62.01,82,1,3.44
270,Te Anau,NZ,2021-02-07 14:40:40,-45.4167,167.7167,53.2,84,100,3.04
271,Manokwari,ID,2021-02-07 14:40:41,-0.8667,134.0833,78.8,83,96,2.19
272,Katsuura,JP,2021-02-07 14:40:41,35.1333,140.3,48.2,46,20,23.02
273,Saint Anthony,US,2021-02-07 14:40:41,45.0205,-93.218,-13.0,69,1,5.75
274,Adelaide,AU,2021-02-07 14:38:05,-34.9333,138.6,59.0,72,20,8.05
275,Roma,US,2021-02-07 14:40:28,43.2128,-75.4557,23.0,63,90,5.75
276,Banda Aceh,ID,2021-02-07 14:40:43,5.5577,95.3222,79.84,81,30,6.38
277,College,US,2021-02-07 14:40:43,64.8569,-147.8028,-9.4,77,40,3.44
278,Aranda De Duero,ES,2021-02-07 14:40:08,41.6704,-3.6892,45.32,62,98,14.67
279,Viransehir,TR,2021-02-07 14:40:44,37.2353,39.7631,54.37,52,29,7.0
280,Salinopolis,BR,2021-02-07 14:40:44,-0.6136,-47.3561,81.52,84,50,10.6
281,Berdigestyakh,RU,2021-02-07 14:40:45,62.0989,126.6992,-30.75,83,7,5.61
282,Myitkyina,MM,2021-02-07 14:40:45,25.3833,97.4,61.92,52,0,1.83
283,Alice Springs,AU,2021-02-07 14:40:46,-23.7,133.8833,80.01,27,52,5.75
284,Urumqi,CN,2021-02-07 14:40:46,43.801,87.6005,15.8,86,100,2.24
285,Shunyi,CN,2021-02-07 14:40:46,40.125,116.6453,35.01,33,0,4.47
286,Nuevo Imperial,PE,2021-02-07 14:40:47,-13.0754,-76.3172,77.77,58,81,7.05
287,Khakhea,BW,2021-02-07 14:40:47,-24.6895,23.494,76.68,65,61,6.91
288,Vestmannaeyjar,IS,2021-02-07 14:40:48,63.4427,-20.2734,37.98,76,64,18.41
289,Cherskiy,RU,2021-02-07 14:40:48,68.75,161.3,-2.72,74,65,2.17
290,Beringovskiy,RU,2021-02-07 14:40:48,63.05,179.3167,-5.89,89,99,13.44
291,Pringsewu,ID,2021-02-07 14:40:49,-5.3582,104.9744,74.82,91,100,2.89
292,Jagodje,SI,2021-02-07 14:40:49,45.5322,13.655,57.2,88,90,11.5
